1,18:43:48,Box 1,1
2,01:23:53,Box 1,1
3,18:43:48,Box 1,1
4,0:00:10:303,Stopwatch 1,1
5,0:00:10:303,Stopwatch 2,2
6,0:00:08:46,Stopwatch 2,2
7,0:00:11:68,Stopwatch 2,2
8,0:00:07:958,Stopwatch 2,2
9,0:00:07:925,Stopwatch 1,1
